Epoch 1: Train Loss: 0.1650| Train Accuracy: 94.72% , Val Loss: 0.0704| Val Accuracy: 97.87% , Test Loss: 0.0594| Test Accuracy: 97.94%
Epoch 2: Train Loss: 0.0436| Train Accuracy: 98.68% , Val Loss: 0.0491| Val Accuracy: 98.33% , Test Loss: 0.0424| Test Accuracy: 98.46%
Epoch 3: Train Loss: 0.0281| Train Accuracy: 99.20% , Val Loss: 0.0396| Val Accuracy: 98.58% , Test Loss: 0.0348| Test Accuracy: 98.75%
Epoch 4: Train Loss: 0.0204| Train Accuracy: 99.44% , Val Loss: 0.0338| Val Accuracy: 98.87% , Test Loss: 0.0303| Test Accuracy: 98.88%
Epoch 5: Train Loss: 0.0159| Train Accuracy: 99.58% , Val Loss: 0.0310| Val Accuracy: 99.03% , Test Loss: 0.0280| Test Accuracy: 99.05%
Epoch 6: Train Loss: 0.0131| Train Accuracy: 99.67% , Val Loss: 0.0295| Val Accuracy: 99.12% , Test Loss: 0.0271| Test Accuracy: 99.06%
Epoch 7: Train Loss: 0.0114| Train Accuracy: 99.72% , Val Loss: 0.0287| Val Accuracy: 99.10% , Test Loss: 0.0267| Test Accuracy: 99.10%
Epoch 8: Train Loss: 0.0102| Train Accuracy: 99.75% , Val Loss: 0.0284| Val Accuracy: 99.10% , Test Loss: 0.0264| Test Accuracy: 99.15%
Epoch 9: Train Loss: 0.0094| Train Accuracy: 99.78% , Val Loss: 0.0283| Val Accuracy: 99.08% , Test Loss: 0.0261| Test Accuracy: 99.15%
Epoch 10: Train Loss: 0.0089| Train Accuracy: 99.81% , Val Loss: 0.0282| Val Accuracy: 99.08% , Test Loss: 0.0259| Test Accuracy: 99.20%
Epoch 11: Train Loss: 0.0085| Train Accuracy: 99.82% , Val Loss: 0.0282| Val Accuracy: 99.08% , Test Loss: 0.0257| Test Accuracy: 99.20%
Epoch 12: Train Loss: 0.0083| Train Accuracy: 99.82% , Val Loss: 0.0281| Val Accuracy: 99.08% , Test Loss: 0.0256| Test Accuracy: 99.20%
Epoch 13: Train Loss: 0.0081| Train Accuracy: 99.83% , Val Loss: 0.0281| Val Accuracy: 99.08% , Test Loss: 0.0255| Test Accuracy: 99.22%
Epoch 14: Train Loss: 0.0080| Train Accuracy: 99.83% , Val Loss: 0.0280| Val Accuracy: 99.12% , Test Loss: 0.0255| Test Accuracy: 99.22%
Epoch 15: Train Loss: 0.0079| Train Accuracy: 99.83% , Val Loss: 0.0280| Val Accuracy: 99.12% , Test Loss: 0.0254| Test Accuracy: 99.23%
Epoch 16: Train Loss: 0.0078| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.23%
Epoch 17: Train Loss: 0.0078| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 18: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 19: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 20: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 21: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 22: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 23: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 24: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 25: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 26: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 27: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 28: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 29: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
Epoch 30: Train Loss: 0.0077| Train Accuracy: 99.84% , Val Loss: 0.0280| Val Accuracy: 99.13% , Test Loss: 0.0254| Test Accuracy: 99.22%
